id,station_id,avail_bikes,avail_docks,created_at,updated_at,last_update,status
274565,72,35,1,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274566,79,4,25,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274567,82,12,13,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274568,83,40,22,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274569,116,12,24,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274570,119,15,1,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274571,120,2,15,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274572,127,20,10,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274573,128,20,9,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274574,137,3,42,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274575,143,7,17,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274576,144,16,1,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274577,146,7,30,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274578,147,25,6,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274579,150,19,10,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274580,151,6,26,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274581,152,8,20,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274582,153,2,53,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274583,157,17,5,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274584,160,5,20,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274585,161,10,24,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274586,164,10,35,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274587,167,2,43,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274588,168,30,16,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274589,173,28,22,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274590,174,8,13,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274591,195,2,40,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274592,212,12,14,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274593,216,5,18,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274594,217,11,28,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274595,218,12,25,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274596,223,23,9,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274597,224,2,20,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274598,225,16,20,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274599,228,39,13,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274600,229,3,24,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274601,232,9,12,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274602,233,2,34,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274603,236,16,21,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274604,237,29,8,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274605,238,16,15,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274606,239,12,19,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274607,241,12,10,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274608,242,8,13,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274609,243,12,18,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274610,244,11,19,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274611,245,5,16,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274612,247,10,7,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274613,248,2,19,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274614,249,3,24,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274615,250,3,36,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274616,251,12,15,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274617,252,25,7,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274618,253,0,3,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Inactive
274619,254,0,3,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Inactive
274620,257,8,27,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274621,258,1,22,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274622,259,10,27,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274623,260,4,30,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274624,261,16,10,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274625,262,19,4,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274626,263,16,15,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274627,264,9,16,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274628,265,18,17,2014-07-06 05:04:07 UTC,2014-07-06 05:04:07 UTC,2014-07-06 05:03:22 UTC,Active
274629,266,13,11,2014-07-06 05:04:08 UTC,2014-07-06 05:04:08 UTC,2014-07-06 05:03:22 UTC,Active
274630,267,5,51,2014-07-06 05:04:08 UTC,2014-07-06 05:04:08 UTC,2014-07-06 05:03:22 UTC,Active
274631,268,7,17,2014-07-06 05:04:08 UTC,2014-07-06 05:04:08 UTC,2014-07-06 05:03:22 UTC,Active
274632,270,16,7,2014-07-06 05:04:08 UTC,2014-07-06 05:04:08 UTC,2014-07-06 05:03:22 UTC,Active
274633,271,29,9,2014-07-06 05:04:08 UTC,2014-07-06 05:04:08 UTC,2014-07-06 05:03:22 UTC,Active
274634,274,19,11,2014-07-06 05:04:08 UTC,2014-07-06 05:04:08 UTC,2014-07-06 05:03:22 UTC,Active
274635,275,13,6,2014-07-06 05:04:08 UTC,2014-07-06 05:04:08 UTC,2014-07-06 05:03:22 UTC,Active
274636,276,4,21,2014-07-06 05:04:08 UTC,2014-07-06 05:04:08 UTC,2014-07-06 05:03:22 UTC,Active
274637,278,1,18,2014-07-06 05:04:08 UTC,2014-07-06 05:04:08 UTC,2014-07-06 05:03:22 UTC,Active
274638,279,9,27,2014-07-06 05:04:08 UTC,2014-07-06 05:04:08 UTC,2014-07-06 05:03:22 UTC,Active
274639,280,6,24,2014-07-06 05:04:08 UTC,2014-07-06 05:04:08 UTC,2014-07-06 05:03:22 UTC,Active
274640,281,8,50,2014-07-06 05:04:08 UTC,2014-07-06 05:04:08 UTC,2014-07-06 05:03:22 UTC,Active
