id,station_id,avail_bikes,avail_docks,created_at,updated_at,last_update,status
147741,72,29,5,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147742,79,1,27,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147743,82,2,22,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147744,83,39,19,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147745,116,3,32,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147746,119,17,0,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147747,120,15,2,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147748,127,0,3,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Inactive
147749,128,6,22,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147750,137,2,44,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147751,143,18,5,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147752,144,14,5,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147753,146,2,34,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147754,147,2,30,2014-06-20 05:02:58 UTC,2014-06-20 05:02:58 UTC,2014-06-20 05:02:13 UTC,Active
147755,150,21,3,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147756,151,3,26,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147757,152,0,27,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147758,153,16,39,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147759,157,11,11,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147760,160,2,21,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147761,161,1,26,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147762,164,1,42,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147763,167,10,35,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147764,168,3,40,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147765,173,5,41,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147766,174,19,2,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147767,195,2,39,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147768,212,0,28,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147769,216,3,17,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147770,217,24,15,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147771,218,20,18,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147772,223,8,25,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147773,224,5,26,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147774,225,2,34,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147775,228,0,54,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147776,229,3,23,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147777,232,0,23,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147778,233,4,34,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147779,236,30,7,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147780,237,28,9,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147781,238,23,5,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147782,239,4,26,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147783,241,16,5,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147784,242,20,1,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147785,243,0,29,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147786,244,28,2,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147787,245,15,7,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147788,247,14,3,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147789,248,0,21,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147790,249,1,25,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147791,250,1,36,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147792,251,12,14,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147793,252,2,28,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147794,253,0,3,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Inactive
147795,254,0,3,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Inactive
147796,257,0,36,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147797,258,16,7,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147798,259,1,33,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147799,260,1,31,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147800,261,23,3,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147801,262,22,0,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147802,263,5,25,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147803,264,3,23,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147804,265,28,6,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147805,266,21,1,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147806,267,0,50,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147807,268,0,26,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147808,270,23,0,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147809,271,20,17,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147810,274,24,7,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147811,275,18,0,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147812,276,0,22,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147813,278,10,9,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147814,279,15,3,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147815,280,3,27,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147816,281,2,53,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147817,282,25,2,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147818,284,21,17,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147819,285,2,44,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147820,289,11,7,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147821,290,4,25,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147822,291,17,3,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147823,293,2,51,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147824,294,2,27,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147825,295,17,7,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
147826,296,10,25,2014-06-20 05:02:59 UTC,2014-06-20 05:02:59 UTC,2014-06-20 05:02:13 UTC,Active
