id,label,latitude,longitude,n1,n2,n3,n4,n5
72,W 52 St & 11 Ave,40.76727216,-73.99392888,480,508,495,530,449
79,Franklin St & W Broadway,40.71911552,-74.00666661,320,249,248,329,257
82,St James Pl & Pearl St,40.71117416,-74.00016545,308,2009,387,296,224
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,271,467,353,274,298
116,W 17 St & 8 Ave,40.74177603,-74.00149746,470,434,463,284,482
119,Park Ave & St Edwards St,40.69608941,-73.97803415,245,144,419,242,2001
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,289,364,409,344,399
127,Barrow St & Hudson St,40.73172428,-74.00674436,358,347,380,368,247
128,MacDougal St & Prince St,40.72710258,-74.00297088,348,2004,368,347,161
137,E 56 St & Madison Ave,40.761628,-73.972924,456,2023,281,520,352
143,Clinton St & Joralemon St,40.69239502,-73.99337909,157,314,233,406,322
144,Nassau St & Navy St,40.69839895,-73.98068914,2001,279,119,278,418
146,Hudson St & Reade St,40.71625008,-74.0091059,152,276,147,249,319
147,Greenwich St & Warren St,40.71542197,-74.01121978,309,152,146,276,319
150,E 2 St & Avenue C,40.7208736,-73.98085795,400,302,393,301,349
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,251,303,250,268,2010
152,Warren St & Church St,40.71473993,-74.00910627,319,146,147,417,330
153,E 40 St & 5 Ave,40.752062307,-73.9816324043,517,485,519,318,484
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,143,398,406,314,233
160,E 37 St & Lexington Ave,40.748238,-73.978311,167,518,472,517,519
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,336,294,375,335,252
164,E 47 St & 2 Ave,40.75323098,-73.97032517,228,440,516,2017,455
167,E 39 St & 3 Ave,40.7489006,-73.97604882,160,518,2017,519,517
168,W 18 St & 6 Ave,40.73971301,-73.99456405,435,496,334,482,345
173,Broadway & W 49 St,40.76064679,-73.98442659,500,510,450,469,447
174,E 25 St & 1 Ave,40.7381765,-73.97738662,2012,545,507,536,461
195,Liberty St & Broadway,40.70905623,-74.01043382,360,376,316,264,417
212,W 16 St & The High Line,40.74334935,-74.00681753,225,463,434,404,459
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,217,407,391,321,2000
217,Old Fulton St,40.70277159,-73.99383605,216,407,2000,321,414
218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,310,323,390,233,395
223,W 13 St & 7 Ave,40.73781509,-73.99994661,482,284,345,383,116
224,Spruce St & Nassau St,40.71146364,-74.00552427,387,316,330,376,306
225,W 14 St & The High Line,40.74195138,-74.00803013,212,404,405,463,434
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,164,440,359,522,441
229,Great Jones St,40.72743423,-73.99379025,335,375,300,250,439
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,322,314,392,391,233
233,Joralemon St & Adams St,40.69246277,-73.98963911,314,323,143,218,392
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,438,237,300,326,439
237,E 11 St & 2 Ave,40.73047309,-73.98672378,236,326,483,438,293
238,Bank St & Washington St,40.7361967,-74.00859207,346,247,405,358,380
239,Willoughby St & Fleet St,40.69196566,-73.9813018,324,390,261,431,245
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,262,416,274,243,245
242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,419,421,343,119,313
243,Fulton St & Rockwell Pl,40.687979,-73.978474,298,274,324,271,431
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,354,366,399,258,313
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,262,119,239,419,241
247,Perry St & Bleecker St,40.73535398,-74.00483091,346,380,238,358,383
248,Laight St & Hudson St,40.72185379,-74.00771779,377,329,328,79,249
